place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.235582764671628,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.15591594228818,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.990943921588743,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.983843694543092,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.95242926423666,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.939616212092842,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.931373849273855,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.847214727894592,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.810401420205286,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.789625736035491,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.766998470923916,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.748187422261234,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,The Lord of the Rings: The Two Towers,8.735904929952214,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,Inception,8.732834533664995,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15,The Empire Strikes Back,8.698730575211373,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.669324979550083,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,GoodFellas,8.652829253817293,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.63845316085125,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604465324384876,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.598008054375073,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.597539287653655,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.588229403911361,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Saving Private Ryan,8.579470207479297,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
24,Cidade de Deus,8.579457489324776,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
25,Interstellar,8.569837403449288,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,La vita è bella,8.568533635687757,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
27,The Green Mile,8.563115534152326,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.548485001923096,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.53781630308688,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517857266132648,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.515960175823421,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,The Pianist,8.507353131328212,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
33,Psycho,8.506533460340423,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
34,Gisaengchung,8.499698961569576,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Léon,8.493932942973322,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,The Lion King,8.48799256550724,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.486940699111093,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.481909530473073,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.47606664068117,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,The Usual Suspects,8.470071218785574,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
41,The Prestige,8.469293997843431,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Whiplash,8.467927752967249,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
43,Casablanca,8.461789889187708,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Hotaru no haka,8.455669381723032,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
45,Seppuku,8.455404635418779,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
46,The Intouchables,8.453859034451252,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,Modern Times,8.447153338681154,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.441361958940522,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Rear Window,8.435633956853376,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
50,Nuovo Cinema Paradiso,8.434802829051305,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
51,Alien,8.433416321115665,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.432752392089155,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Apocalypse Now,8.423293628090818,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.420269216682968,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Django Unchained,8.40843516172482,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
56,Raiders of the Lost Ark,8.406774997040321,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,WALL·E,8.39494634418088,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.384322312122809,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.379259616123411,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.371627053563914,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,The Shining,8.365127795013167,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,The Great Dictator,8.364277173542714,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63,Avengers: Infinity War,8.361433227879646,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Witness for the Prosecution,8.359193158698906,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Aliens,8.343090346702374,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,Spider-Man: Into the Spider-Verse,8.337583262144346,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
67,American Beauty,8.331150098002965,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
